locality_id,locality_name,country,latitude,longitude,cluster,query_elements,reported_ree_elements,mindat_locality_url
144090,"Wajiertage Mine, Wajiertage, Bachu Co. (Maralbexi Co.; Maralbeshi Co.), Kashi Prefecture (Kashgar Prefecture; Qeshqer Prefecture), Xinjiang, China",China,39.5,79.0,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-144090.html
231626,"Wajiertage, Bachu Co. (Maralbexi Co.; Maralbeshi Co.), Kashi Prefecture (Kashgar Prefecture; Qeshqer Prefecture), Xinjiang, China",China,39.533333333333,78.933333333333,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-231626.html
134740,"West Mine, Bayan Obo deposit, Bayan Obo mining district, Baotou City, Inner Mongolia, China",China,41.8,109.871944444,9,Ce; Nd,Ce; Nd,https://www.mindat.org/loc-134740.html
185579,"Wu dyke, Dulahala, Bayan Obo mining district, Baotou City, Inner Mongolia, China",China,41.820197239577,110.01580238342,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-185579.html
441069,"Xiangchunyuan ore zone, Caoziwa Pb–Zn deposit, Tengchong County, Baoshan, Yunnan, China",China,25.530125119895,98.376474380493,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-441069.html
417073,"Xiaoheiqing Nb-Ta deposit, Huili County, Liangshan Yi, Sichuan, China",China,26.715,102.00972222222,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-417073.html
462170,"Xuanwei Formation, Yongshan County, Zhaotong, Yunnan, China",China,27.816666666667,103.61666666667,9,Nd,Nd,https://www.mindat.org/loc-462170.html
460181,"ZK10 borehole, Nayong County, Bijie, Guizhou, China",China,26.612091,105.397107,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-460181.html
194027,"Amandak F-Be deposit, Vitim Plateau, Baunt District, Buryatia, Russia",Russia,54.3333333333,113.583333333,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-194027.html
413589,"Bolshoi Shatak ridge, Beloretsk district, Bashkortostan, Russia",Russia,53.666666666667,57.583333333333,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-413589.html
410901,"Chadobets alkaline complex, Boguchansky District, Krasnoyarsk Krai, Russia",Russia,59.495953882114,99.874165699007,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-410901.html
312973,"Chetlasskiy Kamen', Timan Range, Komi Republic, Russia",Russia,64.49142934474,51.061019897461,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-312973.html
251613,"Chuktukon carbonatite massif, Chadobets alkaline complex, Boguchansky District, Krasnoyarsk Krai, Russia",Russia,59.45,99.8797222222,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-251613.html
435746,"Ildeus intrusion, Tyndinsky district, Amur Oblast, Russia",Russia,55.166666666667,127.16666666667,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-435746.html
307045,"Kulham complex, Chereksky District, Kabardino-Balkaria, Russia",Russia,43.236111,43.293611,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-307045.html
307054,"Petyayan-vara carbonatite, Vuoriyarvi alkaline-ultrabasic massif, Northern Karelia, Murmansk Oblast, Russia",Russia,66.804984377561,30.177612248808,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-307054.html
417069,"Pugachev Mud Volcano, Makarovsky District, Sakhalin Island, Sakhalin Oblast, Russia",Russia,48.2293,142.5629,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-417069.html
212558,"Snezhnoe Be deposit, Eastern Sayan, Buryatia, Russia",Russia,52.960833333333,99.298055555556,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-212558.html
194122,"South Choza deposit, Dzun-Khemchiksky District, Tuva, Russia",Russia,50.982983333333,92.068419444444,9,Ce; Nd; Y,Y; Ce; Nd,https://www.mindat.org/loc-194122.html
